city,name,rating,fee,significance,Best Time to visit
Allahabad,Triveni Sangam,4.5,0,Religious,Morning
Jhansi,Jhansi Fort,4.4,15,Historical,All
Sarnath,Dhamek Stupa,4.6,5,Historical,All
Fatehpur Sikri,Buland Darwaza,4.4,40,Historical,Afternoon
Noida,Okhla Bird Sanctuary,4.3,30,Wildlife,All
Aligarh,Aligarh Fort,4.1,20,Historical,Afternoon
Meerut,Augarnath Temple,4.8,0,Religious,All
Kanpur,Allen Forest Zoo,4.2,150,Wildlife,All
Srinagar,Dal Lake,4.6,0,Nature,Morning
Leh,Pangong Tso,4.9,20,Nature,Morning
Pahalgam,Betaab Valley,4.6,100,Nature,All
Jammu,Vaishno Devi,4.7,0,Religious,All
Udhampur,Patnitop Height,4.1,0,Recreational,All
Anantnag,Amarnath Cave,4.5,0,Religious,All
Leh,Thiksey Monastery,4.7,20,Religious,All
Nubra Valley,Nubra Valley,4.5,0,Nature,All
Kargil,Kargil War Memorial,4.8,0,Historical,All
Diskit,Diskit Monastery,4.7,20,Religious,Morning
Kishtwar,Kishtwar National Park,4.3,100,Wildlife,All
Hemis,Hemis National Park,4.4,20,Wildlife,All
Dras,Dras War Memorial,4.8,0,Historical,All
Leh,Magnetic Hill,3.7,0,Nature,All
Leh,Khardung La Pass,4.5,0,Adventure,Afternoon
Leh,Thiksey Monastery,4.7,30,Religious,All
Vrindavan,Prem Mandir,4.8,0,Religious,Evening
Porbandar,Kirti Mandir,4.8,0,Historical,Morning
Mathura,Nand Gaon,4.1,0,Cultural,Morning
Mathura,Barsana Mandir,4.8,0,Religious,Morning
Darjeeling,Tiger Hill,4.5,0,Nature,All
Siliguri,Jaldapara National Park,4.4,250,Wildlife,All
Sundarbans,Sundarbans National Park,4.4,60,Wildlife,All
Digha,Digha Beach,4.5,0,Recreational,Morning
Murshidabad,Hazarduari Palace,4.5,10,Historical,Morning
Bolpur,Kankalitala Temple,4.7,0,Religious,All
Hooghly,Hangseswari Temple,4.6,0,Architectural,All
Jalpaiguri,Gorumara National Park,4.4,100,Wildlife,All
Cooch Behar,Cooch Behar Palace,4.5,20,Historical,All
Purulia,Ayodhya Hills,4.5,0,Nature,All
Puri,Jagannath Temple,4.7,0,Religious,All
Konark,Sun Temple,4.7,40,Historical,All
Bhubaneswar,Lingaraj Temple,4.6,0,Religious,All
Rourkela,Khandadhar Waterfall,4.5,0,Nature,All
Cuttack,Barabati Fort,4.5,0,Historical,All
Sambalpur,Hirakud Dam,4.5,0,Engineering Marvel,All
Chilika,Chilika Lake,3.9,0,Nature,Morning
Berhampur,Tara Tarini Temple,4.6,0,Religious,All
Keonjhar,Badaghagara Waterfall,4.3,0,Nature,Morning
Balasore,Chandipur Beach,4.2,0,Recreational,Morning
Kendujhar,Sanaghagara Waterfall,4.4,0,Nature,All
Chennai,Marina Beach,3.9,0,Recreational,Morning
Madurai,Meenakshi Amman Temple,4.7,0,Religious,All
Rameswaram,Ramanathaswamy Temple,4.6,0,Religious,All
Kanyakumari,Vivekananda Rock Memorial,4.6,20,Historical,Morning
Ooty,Ooty Lake,4.1,10,Recreational,Morning
Coimbatore,Marudamalai Temple,4.7,0,Religious,All
Kodaikanal,Kodaikanal Lake,3.9,0,Recreational,Morning
Thanjavur,Brihadeeswarar Temple,4.8,0,Religious,All
Mahabalipuram,Shore Temple,4.6,40,Historical,All
Yercaud,Yercaud Lake,4.2,0,Recreational,Morning
Tirunelveli,Nellaiappar Temple,4.6,0,Religious,All
Chidambaram,Nataraja Temple,4.7,0,Religious,All
Vijayawada,Kanaka Durga Temple,4.7,0,Religious,All
Visakhapatnam,Rishikonda Beach,4.5,0,Recreational,Morning
Srisailam,Mallikarjuna Swamy Temple,4.7,0,Religious,All
Rajahmundry,Papikondalu,4.3,0,Nature,All
Anantapur,Lepakshi,4.6,0,Historical,All
Kurnool,Belum Caves,4.4,65,Natural Wonder,Afternoon
Amravati,Amaravathi Temple,4.7,0,Religious,All
Guntur,Uppalapadu Bird Sanctuary,4.4,10,Wildlife,All
Kadapa,Gandikota Fort,4.5,0,Historical,Morning
Puttaparthi,Prasanthi Nilayam,4.7,0,Religious,All
Vizianagaram,Simhachalam Temple,4.7,0,Religious,All
Visakhapatnam,Kailasagiri,4.5,0,Recreational,All
Visakhapatnam,Submarine Museum,4.6,40,Historical,All
Visakhapatnam,Borra Caves,4.5,60,Natural Wonder,Afternoon
Visakhapatnam,War Memorial,4.6,0,Historical,All
Visakhapatnam,Indira Gandhi Zoological Park,4.1,20,Wildlife,Afternoon
Visakhapatnam,Matsyadarshini Aquarium,3.8,20,Recreational,All
Visakhapatnam,Visakha Museum,4.3,10,Cultural,All
Gangtok,Nathula Pass,4.3,20,Historical,Afternoon
Pelling,Pemayangtse Monastery,4.6,20,Religious,Morning
Namchi,Char Dham,4.7,50,Religious,All
Gangtok,Rumtek Monastery,4.6,10,Religious,Morning
Ravangla,Buddha Park,4.8,50,Cultural,All
Gangtok,Baba Harbhajan Singh Temple,4.7,0,Religious,All
Gangtok,Tsomgo Lake,4.5,0,Nature,Morning
Guwahati,Kamakhya Temple,4.6,0,Religious,All
Kaziranga,Kaziranga National Park,4.5,650,Wildlife,Morning
Guwahati,Umananda Island,4.1,0,Nature,Morning
Sivasagar,Sivasagar Sivadol,4.7,0,Historical,All
Majuli,Majuli Island,4.7,0,Cultural,Morning
Manas,Manas National Park,4.6,500,Wildlife,Morning
Hajo,Hayagriva Madhava Temple,4.5,0,Religious,All
Guwahati,Pobitora Wildlife Sanctuary,4.4,500,Wildlife,All
Tawang,Tawang Monastery,4.7,0,Religious,Morning
Agartala,Ujjayanta Palace,4.5,10,Historical,All
Dumboor,Dumboor Lake,4.5,0,Nature,Morning
Unakoti,Unakoti Rock Carvings,4.5,20,Historical,Morning
Bastar,Chitrakote Falls,4.6,0,Nature,Morning
Dzükou Valley,Dzükou Valley,4.7,0,Trekking,Afternoon
Puducherry,Promenade Beach,4.5,0,Recreational,Morning
Auroville,Auroville,4.1,0,Cultural,All
Puducherry,Paradise Beach,4.5,200,Recreational,Morning
Port Blair,Cellular Jail,4.7,30,Historical,Afternoon
Havelock Island,Radhanagar Beach,4.8,0,Nature,Morning
Neil Island,Bharatpur Beach,4.5,0,Nature,Morning
Baratang Island,Limestone Caves,4.4,250,Nature,Morning
Diu,Naida Caves,4.5,0,Nature,Afternoon
Diu,Diu Fort,4.6,0,Historical,Afternoon
Deoghar,Baba Baidyanath Temple,4.7,0,Religious,All
Ranchi,Pahari Mandir,4.6,0,Religious,All
Bodh Gaya,Mahabodhi Temple,4.7,0,Religious,All
Patna,Sanjay Gandhi Biological Park,4.3,30,Wildlife,All
Patna,Takhat Shri Harimandir Ji Patna Sahib,4.7,0,Religious,All
Patna,Budhha Smriti Park,4.4,10,Cultural,All
Gurugram,Kingdom of Dreams,4.4,1100,Entertainment,Afternoon
Gurugram,Ambience Mall,4.6,0,Shopping,Afternoon
Gurugram,DLF CyberHub,4.7,0,Entertainment,Afternoon
New Delhi,Gurudwara Bangla Sahib,4.8,0,Religious,All
Kedarnath,Kedarnath,4.8,0,Religious,All
Noida,DLF Mall of India,4.6,0,Shopping,All
Greater Noida,The Grand Venice Mall,4.2,0,Shopping,All
Bengaluru,Wonderla Amusement Park,4.5,890,Entertainment,All
Bhubaneswar,Nandankanan Zoological Park,4.4,50,Wildlife,Afternoon
Bengaluru,Orion Mall,4.5,0,Shopping,All
Hyderabad,Inorbit Mall Cyberabad,4.5,0,Shopping,All
New Delhi,Jama Masjid,4.5,0,Historical,All
Rameswaram,Ramanathaswamy Temple,4.7,0,Religious,All
Greater Noida,Buddh International Circuit,4.6,1500,Sports,All
Lucknow,Phoenix Palassio,4.6,0,Shopping,All
Kochi,LuLu International Shopping Mall,4.6,0,Shopping,All
New Delhi,Rail Museum,4.4,50,Cultural,Morning
Cherrapunji,Living Root Bridge,4.6,0,Nature,Morning
Gandhinagar,Akshardham,4.6,0,Religious,All
Agra,Agra Fort,4.5,40,Historical,Afternoon
Bhopal,Madhya Pradesh Tribal Museum,4.7,10,Cultural,All
Jaipur,City Palace,4.4,200,Historical,Morning
Jaipur,Albert Hall Museum,4.5,200,Historical,All
