restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location
14Greens,3.9,200,35,0,1,0,0,0,0,Lucknow
15 A.D.,4.5,150,22,0,0,1,0,0,0,Jodhpur
17 Degree City Centre,4.3,200,32,0,1,0,1,0,0,Dhanbad
17 Degrees,4.1,100,39,0,1,0,0,0,0,Patna
17 Degrees Hotel,4.1,150,41,0,1,0,0,0,0,Dhanbad
17 Sector,4.3,100,34,0,0,0,0,0,0,Jalandhar
18 Degree Icecream Zone,4.3,200,23,0,0,0,0,0,0,Trichy
1857 City Cafe,4.1,100,30,0,1,1,0,0,0,Meerut
19 Mini Pancakes,4.1,100,37,0,0,0,0,0,0,Puducherry
1944 -The HOCCO Kitchen,4.2,150,28,0,1,1,0,0,0,Ajmer
1944 -The HOCCO Kitchen,4.3,100,23,0,1,1,0,0,0,Ahmedabad
1947,4.4,200,48,0,1,0,1,1,0,Bangalore
1947 Food Nation,3.6,150,40,1,0,0,0,0,0,Nellore
1947 Restaurant,3.3,100,17,1,1,0,0,0,0,Moradabad
1952 A Food Story,4.1,150,28,0,1,0,0,0,0,Jodhpur
1968 Veg Restaurant - Hotel Manorama,3.8,250,27,1,1,0,0,1,0,Vijayawada
1989 Milkshakes,4.2,100,37,0,0,1,0,0,0,Hyderabad
1989 Pizza & Thick Shake's,4,200,41,0,0,1,0,0,0,Hyderabad
1C Dining,3.8,100,43,1,1,0,0,1,0,Coimbatore
2 Bros Pizza & Resto,3.4,200,56,0,0,0,0,0,0,Bareilly
2 Bross Pizza Cafe,3.5,150,28,0,0,1,0,0,0,Aligarh
2 K,4,150,44,0,0,1,0,0,0,Salem
2 Kaudi Ki Chai,4,100,33,0,0,0,1,0,0,Kanpur
2 Slices,4,250,23,0,1,0,0,0,0,Raipur
2 Square,4.3,100,29,0,0,0,0,0,0,Vellore
2 States,3.5,100,36,1,1,0,1,1,0,Mysore
21 Baker Street,3.2,100,38,0,0,1,0,0,0,Indore
21st Century Bakery,3.9,200,31,0,0,1,0,0,0,Jodhpur
21st Fast Food,3.9,400,30,0,0,1,0,0,0,Jodhpur
22 Constanzaa,4.4,200,46,0,0,0,0,0,0,Chennai
22 Food Point,3.5,350,38,0,0,1,0,0,0,Ludhiana
221B Shakes,4,500,35,0,0,1,0,0,0,Coimbatore
22B The Resort,3.9,200,25,0,1,1,0,0,0,Meerut
22G Nutri Kulche Wale,4.1,250,18,0,1,0,1,0,0,Jalandhar
22nd Parallel,4,200,31,1,0,0,0,0,0,Rajkot
23 Fusion Momos,4.2,150,41,0,0,0,0,0,0,Dharamshala
24 Carats Mithai Magic,4.4,100,24,0,0,0,0,0,0,Surat
24 Hours Bakery Shop,3.7,200,35,0,0,0,0,0,1,Indore
24 Royal Chinese Cafe,3.6,100,37,0,0,0,0,0,0,Vadodara
24/2 Maggi Villa,4,200,31,0,0,1,0,0,0,Meerut
24/7 Food Ex,3.9,50,31,0,1,1,1,1,0,Bhopal
24Seven,4,250,42,0,1,1,1,0,0,NCR
24Seven,4,250,44,0,1,1,1,0,0,Delhi NCR
25 Rice Bowls,4.3,350,27,0,1,0,0,0,0,Ludhiana
28 Street Jam Cafe,3.6,200,43,0,0,1,0,0,0,Guwahati
29 States,3.4,150,24,0,1,0,0,0,0,Bhopal
2ND Wife,4.2,250,28,0,1,1,0,0,0,Agra
2o2 Di Restro Cafe,3.9,150,37,0,1,1,0,0,0,Indore
3 Coins,4.4,450,30,0,0,0,0,0,0,Nellore
3 Hill Cart Road- Jhale Jhole Ambole,4.2,100,34,0,0,0,0,0,0,Siliguri
3 K Resorts,3.8,400,43,0,1,0,0,1,0,Ludhiana
3 Mom's Kitchen,4.3,50,38,0,1,0,0,0,0,Indore
3 Monkey's Cafe,4.1,150,32,0,0,1,0,0,0,Coimbatore
3 Not 3 Ice Cream Cafe,4.2,200,25,0,0,0,0,0,0,Chandigarh
3 Peg Bar & Restaurant,4,250,19,0,0,0,0,0,0,Jamshedpur
3 Star Bakery,4.5,150,37,0,0,1,0,0,1,Warangal
3 Star Sweets Bakery Restaurant,4.3,100,35,0,0,1,0,0,1,Warangal
3 Story,4,100,40,0,1,1,0,0,0,Surat
3 Way Adda,3.5,250,42,0,0,0,1,0,0,Guwahati
3 Way Point,3.9,250,48,0,0,0,0,1,0,Guwahati
3 Way Restaurant & Cafe,3.4,250,37,0,0,0,0,0,0,Allahabad
30 Cordon Bleu,4.3,100,31,0,1,1,0,0,0,Dehradun
'-301°F! & Urban Waffle,4,100,40,0,0,0,0,0,0,Ranchi
31 Burgers,3.4,150,24,0,0,1,0,0,0,Lucknow
33 Eat Street,2.9,200,37,0,0,0,0,1,0,Guwahati
33 Park Street By Junction,4.1,150,27,0,1,0,0,1,0,Jamshedpur
34 Chowringhee Lane,3.7,100,39,0,0,0,0,0,0,Bhopal
34 Chowringhee Lane,3.7,150,46,0,0,1,0,0,0,Delhi NCR
34 Chowringhee Lane,3.7,300,37,0,0,1,0,0,0,NCR
34 Chowringhee Lane,3.8,100,30,0,0,0,0,0,0,Chandigarh
34 Chowringhee Lane,3.8,150,37,0,0,0,0,0,0,Ludhiana
34 Chowringhee Lane,3.9,200,27,0,0,0,0,0,0,Dehradun
34 Chowringhee Lane,4.2,100,46,0,0,1,0,0,0,Rishikesh
34 Stairs,4.2,150,29,1,1,0,0,0,0,Allahabad
34th August,3.5,250,30,0,0,0,0,0,0,Jalandhar
36 China Town,3.3,250,23,0,0,0,0,0,0,Amravati
36 China Town,3.7,10,41,0,0,0,0,0,0,NCR
37 Street Affair,4.1,250,55,0,1,1,0,0,0,Guwahati
37 The Central,4.3,300,44,0,1,1,0,1,0,Shimla
38 Street,4.1,100,27,0,0,1,0,0,0,Chandigarh
3B Tea,3.5,150,29,0,0,0,0,0,0,Vadodara
3C's Cafe,4,100,29,0,0,1,0,0,0,Agra
3C's Shake Time,4,150,30,0,0,0,0,0,0,Agra
3D FoodZ,4,250,23,0,1,1,0,0,0,Amritsar
3Monkeys,4,250,45,0,1,1,0,1,0,Dehradun
3rd Milestone Restaurant,4,150,37,0,1,1,0,0,0,Meerut
3Seventy Bistro,4.2,200,47,0,0,1,0,0,0,Surat
3Seventy Kitchen,4.2,150,38,0,1,0,0,0,0,Surat
3T Foodrinks,4,100,37,0,1,1,0,1,0,Patna
4 Chef - AIIMS,4.3,100,33,0,1,1,0,0,0,Rishikesh
4 Chef Cafe & Snack Bar,3.5,100,35,1,1,0,1,0,0,Rishikesh
4 Chili's Kitchen,4.1,300,36,0,1,0,0,1,0,Hyderabad
4 Mealer,4.1,200,43,0,0,1,0,0,0,Lucknow
4 Seasons,4.1,350,65,0,1,0,0,1,0,Hyderabad
4 seasons - The Cafe Restro,4,150,42,0,1,0,0,0,0,Guwahati
4 Seasons Bakery & Restaurant,4.3,200,19,0,1,0,0,1,1,Visakhapatnam
4 Ways Cafe & Pizza,4,200,41,0,0,1,0,0,0,Chandigarh
40 Indian Thalis(PAU),3.8,150,34,0,1,0,0,0,0,Ludhiana
47 South Tangra Road,4.2,100,52,0,0,0,0,0,0,Kolkata
48 Deg.C,4.3,250,38,0,0,1,0,0,0,Nagpur
4M Biryani House,3.1,200,26,0,0,0,0,1,0,Vijayawada
4M Biryani House,4.2,350,49,0,1,0,0,1,0,Hyderabad
4M Kitchen,3.7,200,43,0,1,0,0,0,0,Surat
4th Street Dining Hall,4.3,100,46,0,0,0,0,0,0,Kolkata
5 Flavours Restaurant & Cafe,3.5,200,22,0,1,1,0,0,0,Ajmer
5 Heads Resto Cafe,3.2,250,29,0,0,1,0,0,1,Visakhapatnam
5 Shots Bistro Cafe,3.1,100,37,0,0,1,0,0,0,Coimbatore
5 Shots The Juice Bar,4.1,100,27,0,0,1,0,0,0,Salem
5 Spice,3.8,100,39,0,0,0,0,0,0,Mumbai
5 Star Canteen,4,150,24,0,1,0,0,0,0,Goa
5 Star Diamond Classic Pizza,4.1,250,34,0,0,1,0,0,0,Saharanpur
5 Star Momos,3.7,150,41,0,0,0,0,0,0,Guwahati
5 Star Pizza,3.6,350,42,0,0,0,0,0,0,Gorakhpur
50 Ml Bar,4,150,34,0,1,0,0,1,0,Kanpur
50 Shades Of Food,3.6,100,44,0,0,1,0,0,0,Kolkata
50+ Burger,3.4,150,43,0,0,0,0,0,0,Chennai
53 Cafe House,4,100,33,0,1,1,0,1,0,Patna
55 Bistro,4,150,33,0,1,0,0,1,0,Nellore
56 Rajwade Cafe & Restaurant,3.7,200,41,0,1,1,0,0,0,Jabalpur
6 Ballygunge Place,4.3,200,44,0,0,0,0,0,0,Kolkata
6 Ballygunge Place Take Away,4.4,50,26,0,0,0,0,0,0,Kolkata
6 Ballygunge Place Takeaway,4.2,100,45,0,1,0,0,0,0,Kolkata
6 Ballygunge Place Thali,4.2,150,51,0,0,1,0,0,0,Kolkata
6 One Restaurant,4,200,38,0,1,0,0,0,0,Darbhanga
60 ML,3.8,150,39,0,1,0,0,1,0,Indore
65 Corner Fast Food,4.1,150,32,0,0,0,0,0,0,Hyderabad
666 Cafe,3.3,250,33,0,0,0,0,0,0,Jalandhar
7 Art's Of Swad,4,250,21,0,1,0,1,0,0,Bhavnagar
7 Bakes,4.3,150,37,0,0,1,0,0,0,Mangalore
7 Cheese Pizza,4.1,200,38,0,0,1,0,0,0,Dehradun
7 Coffee Beans,4.3,100,20,0,0,0,1,0,0,Guntur
7 Colour's Kabab Hut,4,250,26,0,1,0,0,1,0,Patna
7 Days,3.5,150,40,0,1,1,0,0,0,Patna
7 Days Pure Veg Restaurant,3.7,400,46,1,1,1,1,0,0,Nagpur
7 Degree Lounge,3.9,600,32,0,1,1,0,1,0,Kanpur
7 Eleven Fried Chicken,4,100,46,0,0,1,0,0,0,Trichy
7 Heaven Restro,4,100,37,0,1,0,0,1,0,Allahabad
7 Sisters,4.1,300,51,0,0,0,0,0,0,Hyderabad
7 Spice,4.1,350,31,0,0,0,0,0,0,Mumbai
7 Spicery,4,150,38,0,1,0,0,0,0,Lucknow
7 Spices,4.1,150,24,0,1,0,0,1,0,Ajmer
7 Spices Restaurant,4.1,250,41,0,1,0,0,0,0,Kota
7 Star Dhaba,4.1,150,33,0,1,1,0,0,0,Ajmer
7/12 Fried Ice Cream,3,100,59,0,0,0,0,0,0,Kolkata
7/12 Fried Ice Cream Parlour,3,100,61,0,0,1,0,0,0,Kolkata
70 Percent Diet,4.4,150,37,0,0,0,0,0,0,Dehradun
70 Percent Restro Cafe,4.3,250,42,0,1,1,1,0,0,Dehradun
78 Degrees Cafe & Restro,3.6,150,40,0,1,1,0,0,0,Bhopal
78 Singh,3.9,200,29,0,1,1,1,0,0,Jaipur
786 Biryani,4.1,350,17,0,0,0,0,1,0,Vijayawada
786 Chicken & Biryani Center Chacha Ki Dukan,3.8,150,19,0,0,0,1,1,0,Raipur
7th Cloud Restaurant,4.2,300,45,0,1,1,0,1,0,Indore
7th Heaven,3.3,100,25,0,0,1,0,0,1,Jalandhar
7th Heaven,3.3,200,49,0,0,0,0,0,1,Motihari
7th Heaven,3.4,150,29,0,0,0,0,0,1,Raipur
7th Heaven,3.4,300,36,0,0,1,0,0,1,Darbhanga
7th Heaven,3.6,300,16,0,0,0,0,0,1,Mumbai
7th Heaven,3.7,100,14,0,0,0,0,0,1,Rajkot
7th Heaven,3.7,200,22,0,0,1,0,0,1,Amritsar
7th Heaven,3.8,200,18,0,0,1,0,0,1,Jhansi
7th Heaven,3.8,200,37,0,0,0,0,0,1,Patna
7th Heaven,3.9,50,40,0,0,0,0,0,1,Darbhanga
7th Heaven,3.9,100,24,0,0,1,0,0,0,Firozabad
7th Heaven,3.9,250,39,0,0,0,0,0,1,Siliguri
7th Heaven,4,100,21,0,0,0,0,0,1,Vijayawada
7th Heaven,4,100,36,0,0,1,0,0,0,Haridwar
7th Heaven,4,200,44,0,0,1,0,0,1,Kolkata
7th Heaven,4.1,50,33,0,0,0,0,0,1,Jamshedpur
7th Heaven,4.1,150,41,0,0,1,0,0,1,Ludhiana
7th Heaven,4.2,100,29,0,0,0,0,0,1,Lucknow
7th Heaven,4.2,200,24,0,0,0,0,0,1,Bareilly
7th Heaven,4.2,200,31,0,0,1,0,0,1,Varanasi
7th Heaven,4.2,250,19,0,0,1,0,0,1,Patna
7th Heaven,4.3,150,19,0,0,0,0,0,1,Cuttack
7th Heaven,4.3,150,34,0,0,0,0,0,1,Jhansi
7th Heaven,4.3,300,23,0,0,0,0,0,1,Manipal
7th Heaven - A Slice of Happiness,4,100,37,0,0,0,0,0,0,Mangalore
7th Heaven - A Slice of Happiness,4.3,200,31,0,0,1,0,0,1,Manipal
7th Heaven - A Slice of Happiness,4.4,100,38,0,0,0,0,0,1,Mangalore
7th Heaven Bakery,4.3,150,24,0,0,1,0,0,1,Visakhapatnam
7th Heaven Cafe,3.9,150,23,0,0,1,0,0,1,Jhansi
7th Heaven Cafe & Lounge,3.4,100,35,0,0,1,0,0,0,Jhansi
7th Heaven Cake Shop,4.2,200,31,0,0,1,0,0,1,Coimbatore
7th Heaven Cake Shop,4.2,200,43,0,0,0,0,0,1,Pune
7th Heaven Cake Shop,4.3,400,32,0,0,0,0,0,1,Patna
7th Heaven Restaurant,3,200,33,0,1,1,1,0,0,Gaya
7th Heaven Slice Of Happiness,4.3,100,31,0,0,1,0,0,1,Mangalore
7th Heaven-Derebail,4,100,30,0,0,1,0,0,1,Mangalore
7th Sky,3.7,150,42,0,0,0,0,0,1,Patna
7ven 11ven Restaurant,4.3,250,27,0,1,1,0,1,0,Chandigarh
8 Momoz,4.1,200,29,0,1,1,0,0,0,Dehradun
8 The Pizza Stone,4.3,150,41,0,1,1,0,1,0,Ahmedabad
80N Restaurant,3.6,100,42,1,1,1,1,0,0,Jaipur
812 CE - Courtyard By Marriott,3.9,150,42,1,1,0,0,0,0,Vadodara
87 Cafe & Resto,3.4,100,47,1,1,1,1,1,0,Patna
89 Mint Leaf,4.2,200,35,0,1,0,0,1,0,Lucknow
8th Day Cafe & Bakery,4.4,100,42,0,0,0,0,0,1,Kolkata
8th Day Cafe & Bakery,4.4,200,57,0,0,0,0,0,1,Kolkata
9 Coins Cafe,4,100,35,0,0,1,0,0,0,Meerut
9 PM Cafe,3.4,100,52,0,1,0,0,0,0,Kanpur
9 Shine,4.3,200,27,0,0,1,0,0,0,Jalandhar
9 Street Pizza,3.8,150,31,0,0,0,0,0,0,Gorakhpur
9 Tea's Cafe,3.5,150,28,0,0,1,1,0,0,Allahabad
9 To 9 Biryani & Street Food,4.2,250,28,0,1,0,0,1,0,Patna
90's Cafe,4.2,100,32,0,0,1,0,0,0,Salem
90's Memories,3.8,40,38,0,0,0,0,0,0,Salem
90's Restaurant,4,350,21,0,0,0,0,1,0,Vijayawada
90's Restro,3.8,100,40,1,1,1,0,0,0,Jodhpur
91 Kitchen,3.9,100,38,0,1,1,0,0,0,Surat
9834 The Fruit Truck,4.1,200,21,0,0,0,0,0,0,Ahmedabad
9834 The Fruit Truck,4.5,150,17,0,0,0,0,0,0,Rajkot
9834 The Fruit Window,4.2,100,15,0,0,0,0,0,0,Bhavnagar
99 Biryani.Com,3.6,100,24,0,0,0,0,1,0,Nagpur
99 Cakes,4.3,250,21,0,0,0,0,0,0,Mumbai
99 Cakes & Bakers,4,100,25,0,0,0,0,0,1,Bhavnagar
99 Chickens,4.3,150,42,0,1,1,0,0,0,Varanasi
99 Crispy Bazar,4,200,35,0,0,1,0,0,0,Cuttack
99 Dosa D'lite & Chaat Point,3.5,50,38,1,1,0,1,0,0,Gonda
99 Foodie Adda,4,50,27,0,0,0,1,0,0,Bikaner
99 Only,3.8,200,38,0,1,0,0,0,0,Guwahati
99 Pancakes,4,150,32,0,0,0,0,0,1,Indore
99 Pancakes,4.2,100,23,0,0,0,0,0,1,Mumbai
99 Pancakes,4.2,100,41,0,0,0,0,0,1,Hyderabad
99 Pancakes,4.2,200,27,0,0,0,0,0,1,Raipur
99 Pancakes,4.2,200,33,0,0,0,0,0,1,Surat
99 Pancakes,4.3,150,33,0,0,0,0,0,1,Nashik
99 Pancakes,4.3,200,20,0,0,0,0,0,1,Kolhapur
99 Pancakes,4.3,200,23,0,0,0,0,0,1,Allahabad
99 Pancakes,4.5,100,38,0,0,0,0,0,1,Jabalpur
99 Pancakes,4.5,200,34,0,0,1,0,0,0,Varanasi
99 Pizza,3.7,100,39,0,0,0,1,0,0,Mangalore
99 Pizza,3.9,200,37,0,0,0,0,0,0,Vellore
99 Pizza And More,3.8,150,48,0,0,1,0,0,0,Indore
99 Rotiwala,3.6,200,23,0,1,0,0,0,0,Bhopal
99 Rotiwala,3.6,200,37,0,1,0,0,0,0,Indore
99 Rotiwala,4,100,37,0,1,0,0,1,0,Indore
99 Rotiwala LIG,3.9,150,32,0,1,0,0,0,0,Indore
99 Sabjiwala,3.4,100,43,0,1,0,1,0,0,Indore
99 Sweet Jars,4.1,200,21,0,0,0,0,0,1,Amritsar
99 Tasty Food Hub,3.3,50,32,0,0,1,1,0,0,Ludhiana
99 Thali,3.1,150,37,0,1,0,0,0,0,Nagpur
99 Trisha Foods,3.8,250,48,0,1,0,1,0,0,Indore
99 Varieties Dosa & Pav Bhaji,3.7,150,56,1,0,0,1,0,0,Bangalore
99 Waffles,3.5,550,26,0,0,0,0,0,0,Mumbai
99 Wala By Qimbu,4.3,200,36,0,0,0,1,0,0,Nashik
9th Street,4.1,100,33,0,1,0,0,1,0,Bhubaneswar
9th Street Hideaway Restro And Cafe,4.2,150,27,0,1,1,0,1,0,Bhubaneswar
A - One Momo!,4.4,250,30,0,0,0,0,0,0,Ranchi
A & C Burger Shoppee,4.1,500,37,0,0,1,0,0,0,Agra
A 1 bharit center,4.1,250,25,0,0,0,0,0,0,Jalgaon
A 2 Pizza,3.8,200,27,0,0,1,0,0,0,Dehradun
A Balaji Santosh Dhaba,4.1,150,45,0,1,0,0,1,0,Hyderabad
A Cafe,3.1,150,32,0,0,1,0,0,0,Guntur
A Ccream Corner,4,100,24,0,0,0,0,0,0,Kolhapur
A Dessert King,3.7,100,47,0,0,0,0,0,1,NCR
A Gourmesserie,4.4,150,41,0,0,0,0,0,1,Ahmedabad
A Kit Kat Bakery,4.1,200,21,0,0,1,0,0,1,Vijayawada
A Lua Restaurant & Bar,4,100,31,0,1,0,0,0,0,Goa
A Marron Burger,3.5,150,49,0,0,1,0,0,0,Ahmedabad
A Metro Cuisine,3.8,250,56,0,1,0,0,1,0,Guwahati
A One Bakery,2.6,200,24,0,0,0,0,0,1,Bareilly
A One Bakery,3.6,50,36,0,0,0,0,0,1,Udaipur
A One Bakery,4.2,50,29,0,0,1,0,0,1,Lucknow
A One Bombay Biryani,4.1,150,38,0,1,0,0,1,0,Ahmedabad
A One Coco,3.7,100,32,0,0,0,0,0,0,Surat
A One Coco,4.6,450,29,0,0,0,0,0,0,Surat
A One Cold Coco & Juice Center,4,100,34,0,0,0,0,0,0,Surat
A One Cold Coco And Juice Corner,4,200,28,0,0,0,0,0,0,Surat
A One Fast Food,3,350,48,0,1,0,1,1,0,Agra
A One Fry Center,3.5,400,22,0,1,0,0,0,0,Vadodara
A One Hotel & Fast Food,3.4,100,49,0,1,0,0,0,0,Cuttack
A One Hotel & Restaurant,3.7,100,39,0,0,0,0,1,0,Kolkata
A One Muradabadi Chicken Biryani Corner,3.8,250,41,0,0,0,0,1,0,Patna
A One Parsi Food,4,150,38,0,0,0,1,0,0,Surat
A Piece Of Cake,3.8,100,41,0,0,0,0,0,1,Pune
A Pinch Of Salt,3.6,300,45,0,1,1,0,1,0,Indore
A Pizzariya,3.2,150,34,0,0,0,0,0,0,Varanasi
A S Food Corner,3.1,100,45,0,1,0,0,0,0,Meerut
A Silverr Oak,4,100,32,0,1,0,0,0,0,Kolhapur
A Star Kitchen,4.3,100,17,0,0,0,0,1,0,Puducherry
A Taste Of Home,4.5,200,43,0,1,1,0,0,0,Haridwar
A TO Z Burger Biryani And Paratha,3.5,200,25,0,0,1,0,0,0,Kota
A To Z Fast Food,3.6,250,38,0,0,1,0,0,0,Udaipur
A To Z Food Corner,3.5,100,35,0,0,0,1,0,0,Jabalpur
A To Z Palamudir Nilayam,4.1,200,22,0,0,0,0,0,0,Coimbatore
A TO Z Pizza,3.8,150,27,0,1,1,0,1,0,Kota
A To Z Restaurant,3.3,100,28,0,1,1,0,1,0,Palakkad
A To Z Rolls,3.3,250,27,0,1,1,0,1,0,Kota
A Vinis Bakery,3.6,250,33,0,0,0,0,0,1,Indore
A. J. Cool Bar,3.6,300,43,0,0,1,0,0,0,Tirunelveli
A.M Biriyani,4.1,150,29,0,0,0,0,1,0,Trichy
A.P.S Chat,3.8,150,56,0,0,0,1,0,0,Chennai
A.R Modern Rythu Chicken Bazar,4.1,50,30,0,1,0,0,1,0,Warangal
A.R. Biryani Point,4.4,300,18,0,0,0,0,1,0,Guntur
A.R.C Sasi's Chat & More,3.6,150,31,0,1,1,0,1,0,Coimbatore
A.S.I.N Kitchen,4.3,100,46,0,0,1,0,0,0,Goa
A1 Ambur Briyani & Kababs,3.8,200,42,0,0,0,0,1,0,Chennai
A-1 Amlet,4.3,250,28,0,1,0,1,0,0,Rajkot
A1 Biryani,3.7,100,28,0,0,0,0,1,0,Coimbatore
A1 Bombay Vada Pav,3.6,200,24,0,0,1,1,0,0,Surat
A1 Chicken Pakoda Point,4.3,250,26,0,1,0,0,1,0,Hyderabad
A1 Chilli 65 Fast Food Center,4.2,150,43,0,0,1,0,1,0,Coimbatore
A1 Chips,4.2,200,45,0,0,0,1,0,0,Chennai
A1 Desserts,3.5,100,29,0,0,0,0,0,1,Warangal
A1 Family Restaurant,4,450,39,1,1,0,0,1,0,Nellore
A1 Fast Food,3.7,100,40,0,0,1,0,0,0,Bareilly
A-1 Foods,4,250,32,0,1,0,0,0,0,Amritsar
A1 Foods Cake Factory,4.3,150,22,0,0,0,0,0,1,Warangal
A1 Haji Biryani,3.8,100,29,0,0,0,0,1,0,Siliguri
A1 Haji Fast Food Centre,3.9,100,43,0,1,1,0,1,0,Kolkata
A1 Hotels,3.8,200,17,1,1,0,0,0,0,Trichy
A1 Misal House,3.9,300,32,0,0,1,0,0,0,Jalgaon
A1 Momos,3.9,150,34,0,0,0,0,0,0,Madurai
A1 Momo's,4,200,24,0,0,0,0,0,0,Madurai
A1 Pakoda House,4.1,100,33,0,0,1,0,1,0,Hyderabad
A1 Parotha,4.4,150,33,0,1,0,0,0,0,Ahmedabad
A1 Parotta Stall,4,150,23,1,0,1,0,0,0,Tirunelveli
A1 Pulkha Point And Chinese,2.9,200,25,0,1,0,0,0,0,Vijayawada
A1 Quality Falooda,3.6,150,25,0,0,0,0,0,0,Vijayawada
A1 Samosa,4.4,300,25,0,0,0,1,0,0,Mumbai
A-1 Super Dabeli And Panipuri Centre,4.1,100,26,0,0,0,1,0,0,Jalgaon
A2 Fast Food,3.9,250,39,0,1,0,0,0,0,Hyderabad
A2B - Adyar Ananda Bhavan,4,100,34,1,1,0,1,0,0,Nellore
A2B - Adyar Ananda Bhavan,4.1,150,46,1,0,1,1,0,0,Trichy
A2B - Adyar Ananda Bhavan,4.2,100,18,1,1,1,1,0,0,Chennai
A2B - Adyar Ananda Bhavan,4.2,200,22,1,1,1,0,0,0,Puducherry
A2B - Adyar Ananda Bhavan,4.2,300,27,1,1,0,1,1,0,Bangalore
A2B - Adyar Ananda Bhavan,4.3,100,27,1,1,1,1,0,0,Coimbatore
A2B - Adyar Ananda Bhavan,4.3,150,19,1,0,0,0,0,0,Madurai
A2B - Adyar Ananda Bhavan,4.3,150,21,1,1,1,0,0,0,Chennai
A2B Aniram's Aahar Bhavan,4,100,19,1,1,0,0,0,0,Jamshedpur
A3 Eggless Fresh Cakes,4.3,100,26,0,0,0,0,0,1,Kanpur
A9 Baker's & Cafe,4,300,32,0,0,1,0,0,0,Meerut
A9 Kitchen's,3.5,450,34,1,1,1,0,1,0,Raipur
Aab O Dana Red Chillies,3.9,150,23,0,1,0,0,0,0,Bareilly
Aachi Chettinadu Hotel,3.9,150,22,1,0,0,0,0,0,Madurai
Aachman,4.2,250,33,0,1,1,0,0,0,Lucknow
Aacho Bhau,3.1,50,57,0,0,1,1,0,0,Indore
Aadab Biryani,4,150,22,0,1,0,0,1,0,Goa
Aadat Chai Cafe,4.1,150,51,0,0,1,1,0,0,NCR
Aadi Bangali,4.2,100,32,0,0,0,0,0,0,Kolkata
Aadis Eat & Greet,4,100,38,0,1,1,0,0,0,Patiala
Aadi's Kitchen,3.6,150,25,1,0,0,1,0,0,Belgaum
Aagaaram,3.6,150,33,0,1,0,0,1,0,Coimbatore
Aagaaram Cafe,4.1,150,34,1,1,1,1,1,0,Coimbatore
Aah Haa Pizza,2.9,100,32,0,0,0,0,0,0,Dhanbad
