ID,name,type,location,ratings
A103,Varkala Beach Cliff Walk,Nature,Varkala,4.6
A104,Jaipur Elephant Ride,Adventure,Jaipur,4.6
A107,Mysore Sandalwood Factory Tour,Cultural,Mysore,4.5
A109,Horsley Hills Nature Trek,Nature,Horsley Hills,4.6
A110,Chikmagalur Coffee Plantation Tour,Culinary,Chikmagalur,4.8
A112,Pelling Skywalk,Nature,Pelling,4.8
A114,Kanha National Park Safari,Nature,Kanha,4.8
A115,Nagaland Hornbill Festival,Cultural,Kohima,4.9
A116,Lakshadweep Island Hopping,Nature,Lakshadweep,4.8
A117,Sundarbans Boat Safari,Nature,Sundarbans,4.9
A118,Kolkata Durga Puja Festival,Cultural,Kolkata,4.9
A119,Andaman Island Camping,Adventure,Andaman,4.8
A120,Kullu Dussehra Festival,Cultural,Kullu,4.8
A121,Coorg Waterfall Trek,Adventure,Coorg,4.7
A122,Sundarbans Bird Watching,Nature,Sundarbans,4.8
A123,Rann Utsav Cultural Festival,Cultural,Rann of Kutch,4.9
A124,Dibrugarh Tea Tour,Culinary,Dibrugarh,4.7
A125,Manali Solang Valley Adventure,Adventure,Manali,4.8
A127,Hampi Rock Climbing,Adventure,Hampi,4.7
A128,Nalanda University Ruins,Cultural,Nalanda,4.6
A129,Pangong Lake Camp Stay,Nature,Ladakh,4.9
A130,Dudhsagar Waterfall Trek,Adventure,Goa,4.7
A131,Assam Kaziranga Rhino Safari,Nature,Kaziranga,4.9
A132,Shimla Ice Skating Adventure,Adventure,Shimla,4.8
A134,Spiti Valley Monastery Tour,Spiritual,Spiti Valley,4.8
A136,Shillong Root Bridge Trek,Nature,Shillong,4.8
A137,Pondicherry Beach Walk,Nature,Pondicherry,4.7
A138,Goa Christmas Carnival,Cultural,Goa,4.8
A140,Nanda Devi Trek,Adventure,Uttarakhand,4.9
A141,Dandeli White Water Rafting,Adventure,Dandeli,4.8
A142,Tawang Snow Adventure,Adventure,Tawang,4.9
A144,Jodhpur Flying Fox Adventure,Adventure,Jodhpur,4.7
A145,Udaipur Boat Ride on Lake Pichola,Nature,Udaipur,4.8
A146,Khajuraho Dance Festival,Cultural,Khajuraho,4.8
A147,Majuli Island Tour,Nature,Majuli,4.7
A148,Andaman Bioluminescent Beach Walk,Nature,Andaman,4.9
A149,Goa Full Moon Party,Adventure,Goa,4.7
A150,Bangalore Wine Tasting Tour,Culinary,Bangalore,4.7
